,ID,record_year,record_month,farm_code,cow_number,father_cow_semen_number,mother_cow_semen_number,parity_count,lactation_days,month_age,breeding_count,first_breeding_semen,milk_volume,cow weight,health,season
16,17.0,2014.0,4.0,A,52613,7H7763,94040425,1.0,285.0,39.0,1.0,7H9346,21.5,575.2750993606359,0,spring
17,18.0,2013.0,12.0,A,52613,7H7763,94040425,1.0,159.0,35.0,1.0,7H9346,19.0,575.2750993606359,0,winter
18,19.0,2013.0,11.0,A,52613,7H7763,94040425,1.0,133.0,34.0,1.0,7H9346,19.0,575.2750993606359,0,fall
19,20.0,2013.0,10.0,A,52613,7H7763,94040425,1.0,103.0,33.0,1.0,7H9346,19.5,575.2750993606359,0,fall
20,21.0,2013.0,8.0,A,52613,7H7763,94040425,1.0,61.0,31.0,0.0,7H9346,8.0,575.2750993606359,0,summer
21,22.0,2013.0,7.0,A,52613,7H7763,94040425,1.0,32.0,30.0,0.0,7H9346,18.5,575.2750993606359,0,summer
22,23.0,2014.0,7.0,A,52613,7H7763,94040425,2.0,8.0,42.0,0.0,7H10272,30.4,575.2750993606359,0,summer
23,24.0,2014.0,8.0,A,52613,7H7763,94040425,2.0,41.0,43.0,0.0,7H10272,36.2,575.2750993606359,0,summer
24,25.0,2014.0,9.0,A,52613,7H7763,94040425,2.0,76.0,44.0,0.0,7H10272,32.8,575.2750993606359,0,fall
25,26.0,2014.0,10.0,A,52613,7H7763,94040425,2.0,105.0,45.0,0.0,7H10272,32.0,575.2750993606359,0,fall
26,27.0,2014.0,11.0,A,52613,7H7763,94040425,2.0,139.0,46.0,0.0,7H10272,32.0,575.2750993606359,0,fall
27,28.0,2014.0,12.0,A,52613,7H7763,94040425,2.0,162.0,47.0,1.0,7H10272,28.1,575.2750993606359,0,winter
28,29.0,2015.0,1.0,A,52613,7H7763,94040425,2.0,194.0,48.0,2.0,7H10272,28.0,575.2750993606359,0,winter
29,30.0,2015.0,2.0,A,52613,7H7763,94040425,2.0,218.0,49.0,2.0,7H10272,28.3,575.2750993606359,0,winter
30,31.0,2015.0,3.0,A,52613,7H7763,94040425,2.0,252.0,50.0,2.0,7H10272,22.2,575.2750993606359,0,spring
31,32.0,2015.0,4.0,A,52613,7H7763,94040425,2.0,287.0,51.0,3.0,7H10272,26.0,575.2750993606359,0,spring
32,33.0,2015.0,5.0,A,52613,7H7763,94040425,2.0,315.0,52.0,4.0,7H10272,21.6,575.2750993606359,0,spring
33,34.0,2015.0,6.0,A,52613,7H7763,94040425,2.0,343.0,53.0,4.0,7H10272,17.0,575.2750993606359,0,summer
34,35.0,2015.0,7.0,A,52613,7H7763,94040425,2.0,371.0,54.0,4.0,7H10272,17.0,575.2750993606359,0,summer
35,36.0,2015.0,11.0,A,52613,7H7763,94040425,2.0,489.0,58.0,5.0,7H10272,8.2,575.2750993606359,0,fall
36,37.0,2015.0,8.0,A,52613,7H7763,94040425,2.0,404.0,55.0,5.0,7H10272,16.5,575.2750993606359,0,summer
37,38.0,2015.0,9.0,A,52613,7H7763,94040425,2.0,432.0,56.0,5.0,7H10272,15.2,575.2750993606359,0,fall
38,39.0,2015.0,10.0,A,52613,7H7763,94040425,2.0,462.0,57.0,5.0,7H10272,11.6,575.2750993606359,0,fall
39,40.0,2016.0,5.0,A,52613,7H7763,94040425,3.0,31.0,64.0,0.0,200HO00402,29.0,575.2750993606359,0,spring
40,41.0,2016.0,6.0,A,52613,7H7763,94040425,3.0,67.0,65.0,0.0,200HO00402,23.5,575.2750993606359,0,summer
41,42.0,2016.0,7.0,A,52613,7H7763,94040425,3.0,88.0,66.0,0.0,200HO00402,23.2,575.2750993606359,0,summer
42,43.0,2016.0,8.0,A,52613,7H7763,94040425,3.0,123.0,67.0,0.0,200HO00402,20.0,575.2750993606359,0,summer
43,44.0,2016.0,10.0,A,52613,7H7763,94040425,3.0,186.0,69.0,1.0,200HO00402,17.7,575.2750993606359,1,fall
44,45.0,2016.0,9.0,A,52613,7H7763,94040425,3.0,151.0,68.0,1.0,200HO00402,18.2,575.2750993606359,0,fall
45,46.0,2013.0,7.0,A,52614,7H8350,91040042,1.0,122.0,30.0,0.0,1H9593,29.0,575.2750993606359,0,summer
46,47.0,2013.0,8.0,A,52614,7H8350,91040042,1.0,151.0,31.0,0.0,1H9593,28.0,575.2750993606359,0,summer
47,48.0,2013.0,6.0,A,52614,7H8350,91040042,1.0,87.0,29.0,0.0,1H9593,31.9,575.2750993606359,0,summer
48,49.0,2013.0,5.0,A,52614,7H8350,91040042,1.0,52.0,28.0,0.0,1H9593,28.3,575.2750993606359,0,spring
49,50.0,2013.0,4.0,A,52614,7H8350,91040042,1.0,19.0,27.0,0.0,1H9593,23.2,575.2750993606359,0,spring
50,51.0,2013.0,10.0,A,52614,7H8350,91040042,1.0,193.0,33.0,1.0,1H9593,23.3,575.2750993606359,0,fall
51,52.0,2013.0,11.0,A,52614,7H8350,91040042,1.0,223.0,34.0,1.0,1H9593,22.7,575.2750993606359,0,fall
52,53.0,2013.0,12.0,A,52614,7H8350,91040042,1.0,249.0,35.0,1.0,1H9593,22.3,575.2750993606359,0,winter
53,54.0,2014.0,3.0,A,52614,7H8350,91040042,1.0,345.0,38.0,1.0,1H9593,21.9,575.2750993606359,0,spring
54,55.0,2014.0,2.0,A,52614,7H8350,91040042,1.0,324.0,37.0,1.0,1H9593,22.7,575.2750993606359,0,winter
55,56.0,2014.0,1.0,A,52614,7H8350,91040042,1.0,282.0,36.0,1.0,1H9593,22.6,575.2750993606359,0,winter
56,57.0,2015.0,7.0,A,52614,7H8350,91040042,2.0,400.0,54.0,3.0,7H10233,12.9,575.2750993606359,0,summer
57,58.0,2015.0,6.0,A,52614,7H8350,91040042,2.0,372.0,53.0,3.0,7H10233,17.1,575.2750993606359,0,summer
58,59.0,2015.0,5.0,A,52614,7H8350,91040042,2.0,344.0,52.0,3.0,7H10233,24.6,575.2750993606359,0,spring
59,60.0,2015.0,4.0,A,52614,7H8350,91040042,2.0,316.0,51.0,3.0,7H10233,21.6,575.2750993606359,0,spring
60,61.0,2015.0,3.0,A,52614,7H8350,91040042,2.0,281.0,50.0,3.0,7H10233,26.3,575.2750993606359,0,spring
61,62.0,2015.0,2.0,A,52614,7H8350,91040042,2.0,247.0,49.0,3.0,7H10233,24.0,575.2750993606359,0,winter
62,63.0,2015.0,1.0,A,52614,7H8350,91040042,2.0,223.0,48.0,3.0,7H10233,20.8,575.2750993606359,0,winter
63,64.0,2014.0,12.0,A,52614,7H8350,91040042,2.0,191.0,47.0,3.0,7H10233,23.8,575.2750993606359,0,winter
64,65.0,2014.0,11.0,A,52614,7H8350,91040042,2.0,168.0,46.0,3.0,7H10233,27.0,575.2750993606359,0,fall
65,66.0,2014.0,10.0,A,52614,7H8350,91040042,2.0,134.0,45.0,3.0,7H10233,28.5,575.2750993606359,0,fall
66,67.0,2014.0,9.0,A,52614,7H8350,91040042,2.0,105.0,44.0,2.0,7H10233,30.8,575.2750993606359,0,fall
67,68.0,2014.0,8.0,A,52614,7H8350,91040042,2.0,70.0,43.0,1.0,7H10233,35.7,575.2750993606359,0,summer
68,69.0,2014.0,7.0,A,52614,7H8350,91040042,2.0,37.0,42.0,0.0,7H10233,43.4,575.2750993606359,0,summer
69,70.0,2014.0,6.0,A,52614,7H8350,91040042,2.0,9.0,41.0,0.0,7H10233,37.4,575.2750993606359,0,summer
70,71.0,2014.0,6.0,A,52617,7H8350,94040417,1.0,254.0,41.0,2.0,7H9900,22.3,575.2750993606359,0,summer
71,72.0,2014.0,5.0,A,52617,7H8350,94040417,1.0,219.0,40.0,2.0,7H9900,25.5,575.2750993606359,0,spring
72,73.0,2014.0,7.0,A,52617,7H8350,94040417,1.0,282.0,42.0,2.0,7H9900,20.0,575.2750993606359,0,summer
73,74.0,2014.0,8.0,A,52617,7H8350,94040417,1.0,315.0,43.0,2.0,7H9900,15.6,575.2750993606359,0,summer
74,75.0,2014.0,9.0,A,52617,7H8350,94040417,1.0,350.0,44.0,3.0,7H9900,17.0,575.2750993606359,0,fall
75,76.0,2014.0,10.0,A,52617,7H8350,94040417,1.0,379.0,45.0,3.0,7H9900,15.0,575.2750993606359,0,fall
76,77.0,2014.0,11.0,A,52617,7H8350,94040417,1.0,413.0,46.0,3.0,7H9900,14.9,575.2750993606359,0,fall
77,78.0,2014.0,12.0,A,52617,7H8350,94040417,1.0,436.0,47.0,3.0,7H9900,19.4,575.2750993606359,0,winter
78,79.0,2015.0,1.0,A,52617,7H8350,94040417,1.0,468.0,48.0,3.0,7H9900,17.3,575.2750993606359,0,winter
79,80.0,2015.0,2.0,A,52617,7H8350,94040417,1.0,492.0,49.0,3.0,7H9900,15.0,575.2750993606359,0,winter
80,81.0,2015.0,3.0,A,52617,7H8350,94040417,1.0,526.0,50.0,3.0,7H9900,9.7,575.2750993606359,0,spring
81,82.0,2014.0,1.0,A,52617,7H8350,94040417,1.0,97.0,36.0,0.0,7H9900,32.8,575.2750993606359,0,winter
82,83.0,2014.0,2.0,A,52617,7H8350,94040417,1.0,139.0,37.0,0.0,7H9900,17.8,575.2750993606359,0,winter
83,84.0,2014.0,3.0,A,52617,7H8350,94040417,1.0,160.0,38.0,1.0,7H9900,23.8,575.2750993606359,0,spring
84,85.0,2014.0,4.0,A,52617,7H8350,94040417,1.0,190.0,39.0,2.0,7H9900,25.8,575.2750993606359,0,spring
85,86.0,2013.0,12.0,A,52617,7H8350,94040417,1.0,64.0,35.0,0.0,7H9900,31.0,575.2750993606359,0,winter
86,87.0,2013.0,11.0,A,52617,7H8350,94040417,1.0,38.0,34.0,0.0,7H9900,29.0,575.2750993606359,0,fall
87,88.0,2015.0,6.0,A,52617,7H8350,94040417,2.0,18.0,53.0,0.0,11H10360,31.6,575.2750993606359,0,summer
88,89.0,2015.0,7.0,A,52617,7H8350,94040417,2.0,46.0,54.0,0.0,11H10360,22.0,575.2750993606359,0,summer
89,90.0,2016.0,2.0,A,52617,7H8350,94040417,2.0,255.0,61.0,2.0,11H10360,14.5,575.2750993606359,0,winter
90,91.0,2016.0,3.0,A,52617,7H8350,94040417,2.0,289.0,62.0,3.0,11H10360,8.0,575.2750993606359,0,spring
91,92.0,2015.0,10.0,A,52617,7H8350,94040417,2.0,137.0,57.0,1.0,11H10360,16.4,575.2750993606359,0,fall
92,93.0,2015.0,9.0,A,52617,7H8350,94040417,2.0,107.0,56.0,0.0,11H10360,21.0,575.2750993606359,0,fall
93,94.0,2015.0,8.0,A,52617,7H8350,94040417,2.0,79.0,55.0,0.0,11H10360,20.0,575.2750993606359,0,summer
94,95.0,2015.0,11.0,A,52617,7H8350,94040417,2.0,164.0,58.0,1.0,11H10360,17.0,575.2750993606359,0,fall
95,96.0,2015.0,12.0,A,52617,7H8350,94040417,2.0,194.0,59.0,2.0,11H10360,21.0,575.2750993606359,0,winter
96,97.0,2016.0,1.0,A,52617,7H8350,94040417,2.0,226.0,60.0,2.0,11H10360,16.9,575.2750993606359,0,winter
97,98.0,2017.0,1.0,A,52617,7H8350,94040417,3.0,35.0,72.0,0.0,011HO11192,30.7,575.2750993606359,0,winter
98,99.0,2017.0,2.0,A,52617,7H8350,94040417,3.0,63.0,73.0,0.0,011HO11192,36.4,575.2750993606359,0,winter
99,100.0,2017.0,3.0,A,52617,7H8350,94040417,3.0,91.0,74.0,0.0,011HO11192,29.0,575.2750993606359,0,spring
100,101.0,2017.0,4.0,A,52617,7H8350,94040417,3.0,120.0,75.0,1.0,011HO11192,25.5,575.2750993606359,1,spring
101,102.0,2013.0,11.0,A,52618,507H8477,93040314,1.0,229.0,33.0,1.0,1H9593,21.0,575.2750993606359,0,fall
102,103.0,2013.0,12.0,A,52618,507H8477,93040314,1.0,255.0,34.0,1.0,1H9593,21.7,575.2750993606359,0,winter
103,104.0,2014.0,2.0,A,52618,507H8477,93040314,1.0,330.0,36.0,1.0,1H9593,17.0,575.2750993606359,0,winter
104,105.0,2014.0,1.0,A,52618,507H8477,93040314,1.0,288.0,35.0,1.0,1H9593,22.1,575.2750993606359,0,winter
105,106.0,2013.0,4.0,A,52618,507H8477,93040314,1.0,25.0,26.0,0.0,1H9593,25.6,575.2750993606359,0,spring
106,107.0,2013.0,5.0,A,52618,507H8477,93040314,1.0,58.0,27.0,0.0,1H9593,25.8,575.2750993606359,0,spring
107,108.0,2013.0,6.0,A,52618,507H8477,93040314,1.0,93.0,28.0,0.0,1H9593,26.6,575.2750993606359,0,summer
108,109.0,2013.0,8.0,A,52618,507H8477,93040314,1.0,157.0,30.0,1.0,1H9593,28.0,575.2750993606359,0,summer
109,110.0,2013.0,7.0,A,52618,507H8477,93040314,1.0,128.0,29.0,0.0,1H9593,26.5,575.2750993606359,0,summer
110,111.0,2015.0,6.0,A,52618,507H8477,93040314,2.0,401.0,52.0,4.0,7H10233,10.0,575.2750993606359,0,summer
111,112.0,2015.0,5.0,A,52618,507H8477,93040314,2.0,373.0,51.0,4.0,7H10233,18.7,575.2750993606359,0,spring
112,113.0,2015.0,3.0,A,52618,507H8477,93040314,2.0,310.0,49.0,4.0,7H10233,19.8,575.2750993606359,0,spring
113,114.0,2015.0,4.0,A,52618,507H8477,93040314,2.0,345.0,50.0,4.0,7H10233,23.9,575.2750993606359,0,spring
114,115.0,2015.0,2.0,A,52618,507H8477,93040314,2.0,276.0,48.0,4.0,7H10233,25.0,575.2750993606359,0,winter
115,116.0,2015.0,1.0,A,52618,507H8477,93040314,2.0,252.0,47.0,4.0,7H10233,24.3,575.2750993606359,0,winter
116,117.0,2014.0,12.0,A,52618,507H8477,93040314,2.0,220.0,46.0,3.0,7H10233,20.9,575.2750993606359,0,winter
117,118.0,2014.0,11.0,A,52618,507H8477,93040314,2.0,197.0,45.0,3.0,7H10233,29.9,575.2750993606359,0,fall
118,119.0,2014.0,10.0,A,52618,507H8477,93040314,2.0,163.0,44.0,2.0,7H10233,31.2,575.2750993606359,0,fall
119,120.0,2014.0,9.0,A,52618,507H8477,93040314,2.0,134.0,43.0,1.0,7H10233,29.6,575.2750993606359,0,fall
120,121.0,2014.0,8.0,A,52618,507H8477,93040314,2.0,99.0,42.0,1.0,7H10233,23.0,575.2750993606359,0,summer
121,122.0,2014.0,7.0,A,52618,507H8477,93040314,2.0,66.0,41.0,0.0,7H10233,30.5,575.2750993606359,0,summer
122,123.0,2014.0,5.0,A,52618,507H8477,93040314,2.0,3.0,39.0,0.0,7H10233,14.0,575.2750993606359,0,spring
123,124.0,2014.0,6.0,A,52618,507H8477,93040314,2.0,38.0,40.0,0.0,7H10233,13.0,575.2750993606359,0,summer
124,125.0,2016.0,11.0,A,52618,507H8477,93040314,3.0,420.0,69.0,6.0,200H00491,7.0,575.2750993606359,0,fall
125,126.0,2016.0,1.0,A,52618,507H8477,93040314,3.0,111.0,59.0,2.0,200H00491,27.4,575.2750993606359,0,winter
126,127.0,2015.0,12.0,A,52618,507H8477,93040314,3.0,79.0,58.0,1.0,200H00491,27.0,575.2750993606359,0,winter
127,128.0,2015.0,11.0,A,52618,507H8477,93040314,3.0,49.0,57.0,0.0,200H00491,26.1,575.2750993606359,0,fall
128,129.0,2015.0,10.0,A,52618,507H8477,93040314,3.0,22.0,56.0,0.0,200H00491,22.6,575.2750993606359,0,fall
129,130.0,2016.0,3.0,A,52618,507H8477,93040314,3.0,174.0,61.0,3.0,200H00491,29.2,575.2750993606359,0,spring
130,131.0,2016.0,4.0,A,52618,507H8477,93040314,3.0,209.0,62.0,4.0,200H00491,25.6,575.2750993606359,0,spring
131,132.0,2016.0,2.0,A,52618,507H8477,93040314,3.0,140.0,60.0,3.0,200H00491,28.2,575.2750993606359,0,winter
132,133.0,2016.0,5.0,A,52618,507H8477,93040314,3.0,237.0,63.0,5.0,200H00491,27.9,575.2750993606359,0,spring
133,134.0,2016.0,10.0,A,52618,507H8477,93040314,3.0,392.0,68.0,6.0,200H00491,17.0,575.2750993606359,0,fall
134,135.0,2016.0,8.0,A,52618,507H8477,93040314,3.0,329.0,66.0,6.0,200H00491,23.8,575.2750993606359,0,summer
135,136.0,2016.0,7.0,A,52618,507H8477,93040314,3.0,294.0,65.0,6.0,200H00491,16.8,575.2750993606359,0,summer
136,137.0,2016.0,6.0,A,52618,507H8477,93040314,3.0,273.0,64.0,6.0,200H00491,24.4,575.2750993606359,0,summer
137,138.0,2016.0,9.0,A,52618,507H8477,93040314,3.0,357.0,67.0,6.0,200H00491,19.3,575.2750993606359,0,fall
138,139.0,2017.0,4.0,A,52618,507H8477,93040314,4.0,48.0,74.0,1.0,029HO16981,33.0,575.2750993606359,0,spring
139,140.0,2017.0,3.0,A,52618,507H8477,93040314,4.0,19.0,73.0,0.0,029HO16981,34.0,575.2750993606359,0,spring
140,141.0,2017.0,5.0,A,52618,507H8477,93040314,4.0,83.0,75.0,2.0,029HO16981,39.0,575.2750993606359,0,spring
141,142.0,2017.0,6.0,A,52618,507H8477,93040314,4.0,110.0,76.0,2.0,029HO16981,34.0,575.2750993606359,0,summer
142,143.0,2017.0,7.0,A,52618,507H8477,93040314,4.0,139.0,77.0,2.0,029HO16981,18.3,575.2750993606359,0,summer
143,144.0,2017.0,8.0,A,52618,507H8477,93040314,4.0,174.0,78.0,2.0,029HO16981,15.6,575.2750993606359,0,summer
144,145.0,2017.0,9.0,A,52618,507H8477,93040314,4.0,202.0,79.0,2.0,029HO16981,13.7,575.2750993606359,1,fall
145,146.0,2015.0,9.0,A,52619,507H8477,95040474,1.0,560.0,55.0,2.0,501H2611,10.4,575.2750993606359,1,fall
146,147.0,2015.0,8.0,A,52619,507H8477,95040474,1.0,532.0,54.0,2.0,501H2611,15.6,575.2750993606359,0,summer
147,148.0,2014.0,6.0,A,52619,507H8477,95040474,1.0,108.0,40.0,0.0,501H2611,20.6,575.2750993606359,0,summer
148,149.0,2014.0,5.0,A,52619,507H8477,95040474,1.0,73.0,39.0,0.0,501H2611,18.4,575.2750993606359,0,spring
149,150.0,2014.0,7.0,A,52619,507H8477,95040474,1.0,136.0,41.0,1.0,501H2611,17.8,575.2750993606359,0,summer
150,151.0,2014.0,8.0,A,52619,507H8477,95040474,1.0,169.0,42.0,1.0,501H2611,21.0,575.2750993606359,0,summer
151,152.0,2014.0,9.0,A,52619,507H8477,95040474,1.0,204.0,43.0,1.0,501H2611,11.3,575.2750993606359,0,fall
152,153.0,2014.0,10.0,A,52619,507H8477,95040474,1.0,233.0,44.0,1.0,501H2611,13.0,575.2750993606359,0,fall
153,154.0,2014.0,11.0,A,52619,507H8477,95040474,1.0,267.0,45.0,1.0,501H2611,16.8,575.2750993606359,0,fall
154,155.0,2014.0,12.0,A,52619,507H8477,95040474,1.0,290.0,46.0,1.0,501H2611,8.2,575.2750993606359,0,winter
155,156.0,2015.0,1.0,A,52619,507H8477,95040474,1.0,322.0,47.0,2.0,501H2611,14.5,575.2750993606359,0,winter
156,157.0,2015.0,2.0,A,52619,507H8477,95040474,1.0,346.0,48.0,2.0,501H2611,14.1,575.2750993606359,0,winter
157,158.0,2015.0,4.0,A,52619,507H8477,95040474,1.0,415.0,50.0,2.0,501H2611,11.4,575.2750993606359,0,spring
158,159.0,2015.0,3.0,A,52619,507H8477,95040474,1.0,380.0,49.0,2.0,501H2611,12.7,575.2750993606359,0,spring
159,160.0,2015.0,5.0,A,52619,507H8477,95040474,1.0,443.0,51.0,2.0,501H2611,12.6,575.2750993606359,0,spring
160,161.0,2015.0,6.0,A,52619,507H8477,95040474,1.0,471.0,52.0,2.0,501H2611,13.3,575.2750993606359,0,summer
161,162.0,2015.0,7.0,A,52619,507H8477,95040474,1.0,499.0,53.0,2.0,501H2611,13.0,575.2750993606359,0,summer
162,163.0,2014.0,4.0,A,52619,507H8477,95040474,1.0,44.0,38.0,0.0,501H2611,18.5,575.2750993606359,0,spring
163,164.0,2014.0,3.0,A,52619,507H8477,95040474,1.0,14.0,37.0,0.0,501H2611,14.4,575.2750993606359,0,spring
164,165.0,2014.0,3.0,A,52621,507H8477,91040055,1.0,45.0,37.0,0.0,501H8778,25.8,575.2750993606359,0,spring
165,166.0,2014.0,4.0,A,52621,507H8477,91040055,1.0,75.0,38.0,0.0,501H8778,29.6,575.2750993606359,0,spring
166,167.0,2014.0,2.0,A,52621,507H8477,91040055,1.0,24.0,36.0,0.0,501H8778,26.9,575.2750993606359,0,winter
167,168.0,2015.0,1.0,A,52621,507H8477,91040055,1.0,353.0,47.0,1.0,501H8778,23.2,575.2750993606359,0,winter
168,169.0,2014.0,12.0,A,52621,507H8477,91040055,1.0,321.0,46.0,1.0,501H8778,24.4,575.2750993606359,0,winter
169,170.0,2014.0,11.0,A,52621,507H8477,91040055,1.0,298.0,45.0,1.0,501H8778,25.8,575.2750993606359,0,fall
170,171.0,2014.0,10.0,A,52621,507H8477,91040055,1.0,264.0,44.0,1.0,501H8778,29.9,575.2750993606359,0,fall
171,172.0,2014.0,9.0,A,52621,507H8477,91040055,1.0,235.0,43.0,1.0,501H8778,28.3,575.2750993606359,0,fall
172,173.0,2014.0,8.0,A,52621,507H8477,91040055,1.0,200.0,42.0,1.0,501H8778,29.4,575.2750993606359,0,summer
173,174.0,2014.0,7.0,A,52621,507H8477,91040055,1.0,167.0,41.0,1.0,501H8778,28.3,575.2750993606359,0,summer
174,175.0,2014.0,5.0,A,52621,507H8477,91040055,1.0,104.0,39.0,0.0,501H8778,27.0,575.2750993606359,0,spring
175,176.0,2014.0,6.0,A,52621,507H8477,91040055,1.0,139.0,40.0,0.0,501H8778,26.6,575.2750993606359,0,summer
176,177.0,2015.0,4.0,A,52621,507H8477,91040055,2.0,4.0,50.0,0.0,7H11585,31.7,575.2750993606359,0,spring
177,178.0,2015.0,7.0,A,52621,507H8477,91040055,2.0,88.0,53.0,1.0,7H11585,32.1,575.2750993606359,0,summer
178,179.0,2015.0,6.0,A,52621,507H8477,91040055,2.0,60.0,52.0,0.0,7H11585,31.0,575.2750993606359,0,summer
179,180.0,2015.0,5.0,A,52621,507H8477,91040055,2.0,32.0,51.0,0.0,7H11585,38.0,575.2750993606359,0,spring
180,181.0,2015.0,9.0,A,52621,507H8477,91040055,2.0,149.0,55.0,2.0,7H11585,23.6,575.2750993606359,0,fall
181,182.0,2015.0,8.0,A,52621,507H8477,91040055,2.0,121.0,54.0,1.0,7H11585,35.0,575.2750993606359,0,summer
182,183.0,2015.0,10.0,A,52621,507H8477,91040055,2.0,179.0,56.0,2.0,7H11585,29.2,575.2750993606359,0,fall
183,184.0,2015.0,11.0,A,52621,507H8477,91040055,2.0,206.0,57.0,2.0,7H11585,21.1,575.2750993606359,0,fall
184,185.0,2015.0,12.0,A,52621,507H8477,91040055,2.0,236.0,58.0,2.0,7H11585,21.4,575.2750993606359,0,winter
185,186.0,2016.0,1.0,A,52621,507H8477,91040055,2.0,268.0,59.0,3.0,7H11585,18.0,575.2750993606359,0,winter
186,187.0,2016.0,6.0,A,52621,507H8477,91040055,2.0,430.0,64.0,4.0,7H11585,12.4,575.2750993606359,0,summer
187,188.0,2016.0,7.0,A,52621,507H8477,91040055,2.0,451.0,65.0,4.0,7H11585,8.9,575.2750993606359,0,summer
188,189.0,2016.0,5.0,A,52621,507H8477,91040055,2.0,394.0,63.0,4.0,7H11585,15.9,575.2750993606359,0,spring
189,190.0,2016.0,2.0,A,52621,507H8477,91040055,2.0,297.0,60.0,4.0,7H11585,19.3,575.2750993606359,0,winter
190,191.0,2016.0,4.0,A,52621,507H8477,91040055,2.0,366.0,62.0,4.0,7H11585,16.4,575.2750993606359,0,spring
191,192.0,2016.0,3.0,A,52621,507H8477,91040055,2.0,331.0,61.0,4.0,7H11585,18.8,575.2750993606359,0,spring
192,193.0,2016.0,11.0,A,52621,507H8477,91040055,3.0,21.0,69.0,0.0,nan,16.8,575.2750993606359,0,fall
193,194.0,2015.0,3.0,A,52622,7H7735,94040402,1.0,613.0,49.0,2.0,7H10233,14.0,575.2750993606359,0,spring
194,195.0,2015.0,1.0,A,52622,7H7735,94040402,1.0,555.0,47.0,2.0,7H10233,17.5,575.2750993606359,0,winter
195,196.0,2015.0,2.0,A,52622,7H7735,94040402,1.0,579.0,48.0,2.0,7H10233,16.8,575.2750993606359,0,winter
196,197.0,2014.0,6.0,A,52622,7H7735,94040402,1.0,341.0,40.0,1.0,7H10233,24.5,575.2750993606359,0,summer
197,198.0,2014.0,5.0,A,52622,7H7735,94040402,1.0,306.0,39.0,0.0,7H10233,23.7,575.2750993606359,0,spring
198,199.0,2014.0,7.0,A,52622,7H7735,94040402,1.0,369.0,41.0,1.0,7H10233,25.0,575.2750993606359,0,summer
199,200.0,2014.0,8.0,A,52622,7H7735,94040402,1.0,402.0,42.0,1.0,7H10233,22.0,575.2750993606359,0,summer
200,201.0,2014.0,9.0,A,52622,7H7735,94040402,1.0,437.0,43.0,1.0,7H10233,21.6,575.2750993606359,0,fall
201,202.0,2014.0,10.0,A,52622,7H7735,94040402,1.0,466.0,44.0,2.0,7H10233,22.3,575.2750993606359,0,fall
202,203.0,2014.0,11.0,A,52622,7H7735,94040402,1.0,500.0,45.0,2.0,7H10233,17.5,575.2750993606359,0,fall
203,204.0,2014.0,12.0,A,52622,7H7735,94040402,1.0,523.0,46.0,2.0,7H10233,17.7,575.2750993606359,0,winter
204,205.0,2014.0,2.0,A,52622,7H7735,94040402,1.0,226.0,36.0,0.0,7H10233,22.1,575.2750993606359,0,winter
205,206.0,2014.0,1.0,A,52622,7H7735,94040402,1.0,184.0,35.0,0.0,7H10233,24.1,575.2750993606359,0,winter
